a|to, towards, at
milyo|mile
milyon; —er|million; —aire
mimoso|mimosa
min; —e|less, minus; lesser
mina|less, lesser
minax; —i|threat; to —en; menace; to —
minel; —at; —i|(m
mineral; —a|mineral
mineraqo|mineral water
mingo|sleeve
mini; —azo|to decline; —ing
minijup|miniskirt
minim; —um; —a|minimum
ministrado|ministry, department
ministro|minister
minmine|less and less
minora|minor
minoreso; —eyo|minority
minox; —a; —e|midnight; —'s; at —
minsa|thin
minsel|sliced meat
minste|at least
mint|mint
minut; —al|minute; time-switch
minutal|time-switch
minval|decrease in value
miopa; —io|short-sighted; —ness, myopia
mir; —i|look; to — at
miraco; —i|scowl, to —
miraklo; —a|miracle; —culous
mirel; —i|aiming; to aim
mireti|to have a look
miril|opera-glasses, field-glasses
Mirko; —a; —e|Wednesday; of, on —
mirmo; —i|ant; to swarm
mirmuyo|ant-hill
miron; —i|covetousness; to covet
mirtil|myrtle; black-currant
miru!|look!
miruci|to look at each other
miryo|myrrh
mis|mass
mislo|mistletoe
mister; —a|mystery; —ious
mistifik; —i|mystification, to mystify
mistik; —a|mysticism; mystical
misyon; —er|mission, —ary
mit; —a|myth; —ical
miting|meeting
mitologio; —oga|mythology; —ical
mitral; —i|machine-gun; to —
mitralet|tommy-gun, sub-machine-gun
mix(o); —i|mixing
mixa|mixed
mixeco; —i|foul relations; to have —
mixel|hotchpotch, jumble
mizeryo; —ya|poverty, need, misery; miserable
mizo; —i|stake; to —; —
mo|but
mobila; —i|movable, mobile; to mobilize
moblior|pantechnicon, moving-van
moblo; —i; —eyo|piece of furniture; to furnish; furniture
moca|overripe, soft (fruit)
mod|way, manner
model; —i|model; to —
modelist|model-maker
modera; —t; —i; —eso|moderate; to —; —ation
moderna; —ayos|modern; — conve-niences
modesta; —eso|modest; —y
modifik; —i|modification; to modify
modika; —eso|moderate; —ness; unpretending
modyo; —ya; —ye|fashion; —able; —ably
mogan|mahogany (wood; colour)
mogi|may
mogo|faculty, possibility, permission, leave
mok; —i|mockery; to mock
mokofendi; —o|to scoff at; scoffing at
mola; —eso|soft; —ness
moldel|swaddling-band; vest, jersey
molden; —i|knitted wear; to knit
molko; —i|mould; to —
molov|soft-boiled egg
molusko|mollusc
momen|when, just when
mon—merkado|money market
mon; —a|money; monetary
monal|bank-note
monark; —a; —io|monarch; —ic; —y
monca|one-armed
mond; —a|world
mondan; —in|worldy man; — woman
mondomap|map of the world
monel; —ado|urchin, little boy, street-boy; little-boys' pranks
monio|currency, change, small change
monitor|monitor
monko; —in|monk; nun
monol|small piece of money
monolog; —i|monologue; to soliloquize
monopol|monopoly
monotona; —eso|monotonous; —tony
monstro; —a|monster; monstrous
mont-algo|mountain sickness, height —
mont; —anyo; —a|mount, mountain; mountainous, hilly
montan|highlander, mountaineer
montant; —i|amount; to-, to mount up, to add up to
montel|hill
monti|to go up, to ascend
monto|rise, rising, going up
montri; —o|to show; show, display
monument; —a|monument; —al
mor(a)|black; brown
moral; —a|morals; morale, spirits; moral
moratoryo|moratorium
morbil; —a|measles
morco|bit
mordi; —o|to bite; bite
morgo; —ye|mortuary,
morin|brunette
morko; —a|haemorrhoids; —hoidal
Mormon; —a|Mormon
morna|cheerless, dismal, gloomy
moroza; —eso|gloomy, dull, morose, sullen; moroseness, dullness
mort; —a; —i|death; dead; to die
mortal (a); —eso|mortal
mortasizo|slack season
mortifa|deadly
morun; —et|brown man; brown boy
mos(o); —el|groom, dark; ship's boy, deck-boy
mosha; —eso|ugly, —ness; rotten, —ness
moskeo|mosque
mosko|fly
moslo|nave, hub;
mostardo|mustard
mot(o); —i|motor-cycle; to go on —
motel|motel
moter|motorcyclist
motiv; —i|motive, cause; to cause
motor; —i|motor; to —ize
motoskaf|motorboat
mov(o); —i; —ema; —adi|movement; to move; bustling, fidgety; to start off
mova|moving
movit; —i|fidgets, to have the —
movot; —i|trigger; to —
mudi; —er; —aro|to mill, to grind; miller; mill
mudil|mill
muf; —i; —a|mildew, mould; to —; mouldy, musty, mildewed
mugel|lily of the valley
mugi; —o|to bellow; —ing
mugil|fog-horn
mul|much; many
mulatra; —o; —in|mulatto
mulko|mussel
mulkolora|variegated, multi-coloured
mulkun; —a|incompatibility; —ible
mulmele; —a|much better
mulmilyoner|multimillionaire
mulso; —in|mule, he-mule; she-mule
multipla; —o; —i; —al|multiple
multo; —i|fine, penalty; to fine, to penalize
mum; —i|mummy; to —ify
mun; —at; —i|supplies, ammunition; provided (with); to provide, to supply
mund|mouth
mungi; —o|to draw, to milk; milking
municip; —a|municipality; —icipal
mur; —el|wall; partition (- wall)
murdo; —a; —i; —er|murder; —ous; to murder; —er
murlo; —eyer|mulberry; —tree
murmo; —i|murmur, —ing
murmon; —i|grumble; to —
mus; —el|rat; mouse
musezo|bat
mush; —a|misery, poverty, destitution; miserable
muskat|(grape, wine) muscat
musklo; —a|muscle; —ular
muslo; —a|moss; —y
mustash|moustache
muta; —eso|dumb; —ness
mutili; —azo|to mutilate; —ation
mutini; —er; —azo|to mutiny; —ineer; mutiny
mutual; —a; —eso|mutual
muy|very
muzeo; —ea|museum; —'s
muzik; —a|music; —al
muziker; —ist|musician
muzo|muse
muzyet|musette; —
myel; —a; —ema|honey
myellun|honeymoon
myeto; —i; —er|harvest; to —; —er
na|our; ours
nacel|nacelle, basket, cockpit
Nadam|Our Lady
naelte|on our side, from our side
nafto; —talin|naphtha; —alene
nafto; —alin|naphta; —line
nagi;|—
nakro; —a|mother-of-pearl, nacre; —
nam-id|name-day, fete-day, Saint's-day
nam; —i; —at|name; to call, to name; called;
namadi; —o|to appoint; —ment
namazo|appellation, denomination
name|in the name of
nameleste|the best we can
namkart(o)|card, visiting-card
nan; —a; —in; —eso|dwarf
naopine|in our opinion, in our view
nap; —el; —et|table-cloth; napkin; tea-cloth, doily
Napatro|Lord's Prayer
nar (a)|next, to come
naranyo; —ya|next year; —'s
narbultene|in the next bulletin
nardomin(ko)|next Sunday
naren|nostril
narerso(—a, —e)|next autumn
naridyes|some day, on a next occasion, one of these days
nariske|at our risk
narjov; —a|next Thursday; —'s
narlenso (-a, —e)|next spring
narlundo; —a|next Monday; —'s
narmatinyes|one of the next days, of the next mornings
narmes; —a|next month; —'s
narmirko; —a|next Wednesday; —'s
narnum; —e; —a|next number, next issue; in the, of the —
naroxe|on a next occasion (opportunity)
narsab; —a|next Saturday; —'s
nartempe|in the coming time
nartud; —a|next Tuesday; —'s
narvek; —a|next week; —'s
narvenso; —a|next Friday; —'s
naryem; —a|next winter; —'s
naryes|next time
narzom; —a|next summer; —'s
nas|ours
nasa; —at|native; born
nasalinguo|mother tongue
nasalok|birthplace
nasid|birthday
naso; —i; —a; —at|birth; to be born; born
nasorax|birth-rate
naspeze|at our expense (charge)
nasyon; —a; —ismo|nation; —al; —alism
Natal; —a; —ye|Christmas
natalarbo; —dindin; —velyon|Christmas-tree; — turkey; —eve
natur; —a; —e|nature; —al; —ally
naturalismo; —ist (a)|naturalism; —ist n(a)
naturistor|natural history; object lesson
naturne|on our turn
naufrago; —i; —at; —un|wreck, shipwreck; to wreck; shiprecked
nauzo; —a; —i|nausea; —eous; to sicken; to feel sick
nav; —a|ship; naval
navigo; —i; —er|navigation; to —ate; —ator
navri; —a; —at; —o|to grieve; —ed; grief
nazo; —a|nose; nasal
nazopalmi|to make a long nose
Nb (Notabene)|N. B. (Nota bene)
ne|us
nea|in Neo
neblo; —a|fog; foggy
Nedo; —a; —al|Netherlands; Dutch. Dutschman; Dutch (
nee|in Neo
nefasta|ill-omened
nefro; —it|kidney; nephritis
negi; —o; —a|to deny; —ial; negative
neglo; —a; —i; —at|negligence; —ent; to neglect; —ed
negosado; —i; —er|negociation; to —ate; —ator
negoso; —er; —i|trade, business; businessman; to trade
nei|to know, to practice Neo
Neist; —in|Neist
nek|not, not at all
nek|not, not at all
nekno!|no!, no, dear!
nekta|net
nel|in the
nemik; —a|enemy; hostile, inimical
neologo|neologism
neologo|neologism
neon|neon
neoplasmo|neoplasm, new growth
nep; —in|nephew; niece
ner-umur|macabre humour
ner(a)|black
nermerkado|black market: (
neroka; —kapla|black-eyed; black-haired
nervidi|to have the blues
nervidon; —i|blues
nesa; —o; —i|necessary; necessity; to want, to need
nesar|it is necessary
net(a); —eso; —i|clean; —ness; to —
netego; —i|spring cleaning; to make —
netetisi|to tidy up
neton|cleaning
neura|nerve
neuralgio; —a|neuralgia; —algic
neurastenio; —stena|neuresthenia; —enic
neurema; —o|nervous; —ness
neuri|to excite, to irritate
neurit; —a|neuritis; —itic
neuro|nerve
neurolog; —io|neurologist; —logy
neutra; —eso|neutral; —ity
nev; —i; —sut|snow; to —; — boot
nex; —i|connection; to connect
ni|never
nid; —i|nest; to —
nigra|negro
nikel; —a; —i|nickel
nil(a)|no
nile|no wise, in no way, not at all
nilecer; —eci; —o|lazy-bones; to do nothing; laziness
nili|to annihilate
nilkaze|in no case, on no account
nilo|nothing
nilon; —a|nylon
nilosa; —o|no other
nilun|nobody
nilval|rascal, good-for-nothing n
nilye|nowhere
nilyes|never, not once
nimfo|nymph
nir; —a; —i|near
nirazo|approach, —ing
niresta; —e|nearest
Niroryent|Near-East
niudat|never heard
niv; —i|level; to —
nividat|never seen
nivinkat|unconquered
nivpaso|level crossing
nix; —e|nothing at all; not at all
no dey|! Don't mention it!
no|no, not
noa; noe|negative; —ly
noabitua|unusual
noabla|unable
noadmitibia|inadmissible
noadsa; —o|absent, —ence
noaktiva; —eso|inactive; —ity
noaltribla|unchangeable, unfailing
noapta; —eso|inapt; —itude
noatendat|unexpected
noaxedibla|inaccessible, unreachable
nobatibla|unbeatable, invincible
nobennomale|so-so
nobevibla|undrinkable
nobla; —e; —eso; —eyo|noble; —y; —ness; nobility, gentry
nocedibla|not transferable, inalienable
nocerta; —eso|uncertain; —ty
nodefena|indefinite
nodelibla|indestructible
nodependo; —a|independence; —ent
nodezibla|undesirable
nodigestibla|indigestible
nodiskutibla|unquestionable
nodispendibla|indispensable
noduba; —e|indubitable; —ly
nodus|not far
nodyo|knot
noe|negatively
noedibla|uneatable
noeditat|unpublished
noeficenta; —censo|inefficient, —ency
noefikaca; —eso|ineffective, ineffectual; ineffectiveness, inefficacy
noegala; —eso|unequal; inequality
noeltema; —o|impartial; —ity
noendat|unfinished  [evitable
noevibla; —itibla|unavoidable, in-
noexakta; —eso|inexact; —itude
noexista; —o|non-existent; —ence
nofalibla; —eso|infallible; —ibility
nofavora|unfavorable
nofibla|unfeasible, impracticable
nofrosibla|uncreasable
noglutibla|impossible to swallow
noi|to say no, to refuse
noimitibla|inimitable
noinsa; —e|not included
nointeresema; —o|disinterested; —ness
nojusta|not right, unjust
nok; —a|more, yet, still; ulterior, more, further
nokambat|unchanged
nokapabla|unable, incapable
nokmele|still better
nokmin|still less, lesser
nokoltat|uncultivated
nokomoda|uncomfortable, inconvenient
nokonat; —nun; —nin|unknown; —man; — woman
nokonselenda|unadvisable
nokonsilibla|not reconciliable
nokonsolibla|inconsolable, disconsolate
nokontestibla|incontestable
nokorekta; —eso|incorrect; —ness
nokpize|still worse
nokplue|still more
nokredibla, nokribla|unbelievable
noksem|still
nokturno|nocturne
nokumpo|non-accomplishment
nol; —i|freight; to —
nolegitima|illegitimate
nolektibla|illegible, unreadable
nolezifa|harmless, inoffensive
nolicita|illicit
nologika|illogical
nolopibla|ineluctable
nomad; —a; —ismo|nomad
nomala; —e|not bad, not so bad
nomata|immaterial
nomendibla|incorrigible
nomensyonenda|not worth mentioning
nomeritat|unmerited, undeserved
nomesme|not even
nomezuribla; —e|immeasurable; —bly
nomine|nevertheless
nomorala|immoral
nomortala|immortal, everlasting
nomovibla|irremovable
non; —a; —im|nine; —th
non(o); —in|grandpa; grandma
nonegibla; —e|undeniable; —bly
nonek|nine hundred
nonis|ninety
nonok|not yet
nonormala|abnormal
nonur|not only
nooblibla|unforgettable, never-to-be-forgotten
nooxat|non-existent, null and void
nop; —a; —at; —i|knot; —tty; —tted; to —
noparda|odd, uneven
noparelya|unlike, dissimilar
noparlenda!|there is no question !, don't talk of it!
noperfa; —eso|imperfect
noperibla|imperishable
nopersona|impersonal
noplaqibla|implacable
noplue|no more
nopok|not so little
nopoplema; —o|unpopular; —ity
noposa; —o|powerless; —ness
noposibla|impossible
noprevidibla|unforeseeable
noprobabla; —e; —eso|improbable; —bly; —bility
noproporsa|disproportionate
noprufa|not proof, not impermeable
nopunat; —uneso|unpunished; impunity
nopura|impure
nor|nor
norage|wrongly
norajona|not reasonable, irrational
norakontibla|indescribable
nord; —a; —e|north
nordauror|aurora boreal is
nordon|north wind
nore|neither
noreala|unreal
noregla; —eso|irregular; —ity
norexa; —e|indirect; —ly
norezistibla|irresistible; —bly
Norgo; —a; —al|Norway; —wegian; —wegian (l
norimedibla|irremediable, irreparable
noriparibla|irreparable
noriprensibla|irreproachable, blameless
norisolva|irresolute
norivokibla|irrevocable
norma|normal
Normal|Normal School
normi; —at; —azo|to normalize; —ized; —ization
normo|norm, standard
norompibla|unbreakable
norovibla|irreversible
noruske|nor even
norye|neither
nos; —a|we; our, ours
nosatibla|insatiable
nosembla|unlike
nosenava|not without means (fortune), on easy street
nosensibla; —e; —eso|insensible; —bly; —bility
noshira|not expensive
nosimila|dissimilar, unlike
nosimileso|dissimilarity
nosolvabla; —o; —eso|insolvent; —ency
nosolvibla|insoluble, unsolvable
nosonora; —at; —i; —azo|insonorous, sound-proof; — proofed; to — proof; sound-proofing
nosperat|unhoped-for
nospikibla|inexpiable
nosself|ourselves
nostalgio; —ga|nostalgia; —gic; homesickness; homesick
nosufa; —e|insufficient; —tly
nosyon|notion, knowledge
not; —i|note; to —
notaryo; —ya|notary; —ial
notel|a word; a small letter
notenda|to be noted
notifi|to notify
notis|notice
notora; —eso|notorious; notoriety
notoxa|non-toxic, non-poisonous
notransigema; —o|intransigent; —ence
notromale|not so bad
notye|namely, especially
nousa|non-American
nouske|not even
noutra|neither one nor the other, neither of both
nouza|unusual
nouza|j
novala|not valid, non-valid
novalida; —eso|invalid; —ity
novaryibla|invariable, unchanging
novayon|house-warming
Novem(bro); —a; —e|November; of, in —
novendenda|not to sale, not for sale
novendibla|unsaleable
novera; —o|not true; untruth
noversembla; —o|unconvincing, not verisimilar; unverisimilitude
novidibla; —e|invisible; —bly
novika|unimportant
novinkibla|invincible
novola; —e|unintentional; —lly
novunibla; —eso|invulnerable; —bility
nox; —a; —e|night; —
noxbux|night-club
noxoyo|bedside-table
nuanso; —i|shade; to —
nub; —a|cloud; —y
nubia|nubile, marriageable
nuda; —eso; —ismo|naked, nude,
nudcefa|bare-headed
nudoke|to the naked eye
nudpeda|barefooted
nugi; —fa|to annoy; —ying
nuk|nape, nape of the neck, back of neck
nuklo; —a|kernel; nucleus; nuclear
nukloshenso|nuclear science
nula; —i; —azo|non-existent, worthless, null; to cancel, to nullify; cancellation
nulyo|noodle
num; —a|number; numeral; numerous
numego, numon|big number, great number
nun; —a|now; present
nunco|nuncio
nunoje|nowadays
nunore|at this time, at this hour
nunpree; —ea|formerly; former
nunye|henceforth, from now on
nupsamarco|wedding-march
nupso; —a|wedding
nupsoni|to carouse
nur|only
nurso; —in|male nurse; nurse f
nus(a); —o|pretty; —iness
nuseta|dainty, pretty, graceful
nushi|to be stumped
nusi|to embellish
nutri; —o|to feed; food
nuv(a); —o|new; novelty, something new
nuvadi; —o|to innovate; —ation
Nuvanyo|New Year
nuvayo|novelty
nuvel|news
nuvelyo|short story, tale
nuvi|to renovate, to renew
nuvnasa|new-born
nux; —el; —il|nut, walnut; hazel-nut;
Nux!|Nuts!
nyet|no
oazo; —a|oasis; — s'
obaro|garret, lumber, lumber-room
obe; —a|upstairs, above; above
obed; a; —i|obedience; —ient; to obey
obeza|obese, stout
obis|shell, shrapnel
obit; —a|obituary
objek; —a; —e|object; —ive
objekismo|objectivism
objekti; —o|to object; —ion
objekiv|objective
obkomando; —i|control; to —, to master
oblel|omission, oversight
oblema|forgetful
oblenda|to be forgotten
obli; —o|to forget; —ing
obligado; —i|obligation
obligema; —o|obliging, kind; —ness
obligi; —o|to oblige, to compel; obligation
obliqa|oblique; —
oblit; —i|obliteration, to —ate; cancelling
oblo|forgetting
obnamat|above-mentioned, —named
obnamat|above-mentioned, aforesaid
obnubili; —azo|to obnubilate, —ation
obo|top
oboe|oboe
obol|obol
obsedi; —o|to obsess; —ion
observaro|observatory
observi; —o|to observe; —ation
obshena; —eso|obscene; —ity
obstaklo; —i|obstacle; to hinder, to bar, to put obstacles
obstetro; —a; —er; —ist|obstetrics, —ical; —ician
obstina; —eso|obstinate; —inacy
obstrui; —uo|to obstruct; —ion
obten; —i|obtaining
obtusa|obtuse
obvia|obvious
ocean; —a|ocean; —ic
Oceanyo; —ya|Oceania; —ian
ocid; —i; —er|killing
ocidio|slaughter
od; —i|hate; to —
odel|ode
odiseo|odyssee
odor; —i|smell, odour; to —
of endo; —i|offence; to offend; insult, to —
of; —a|often; frequent
ofensiv; —a|offensive
ofeso|frequency
ofesta; —e|most frequent; most often
ofica; —e|ex officio
oficala; —e|official; —lly
oficer|officer
ofico|office, function
oficosa; —e|officious; —ly
ofiso|service
ofmodulazo|frequency modulation
ofno|stove
ofro; —i|offer; to —
oftalmit|ophthalmia
ofuski|to obfuscate
ogiv; —a|ogive; —al
ogro; —in|ogre; —ess
oje; a; —i|to-day; —'s; to bring up to date
ojmese|within a month from to-day, in a month
ojveke|within a week from to-day, in a week
ok; —a|eye; ocular
O. K., Oke!|all right!
okado; —i|glance;
okazyon; —a|occasion, bargain; —
okel; —i|wink; to — at
okelil|winker
okil|glasses, spectacles
okist|oculist
okorzo|sty, stye
Oktob(ro); —ra; —re|October; —'s; in —
okulta; —ismo|occult; —ism
okup; —i|occupation; to —upy
okuyo|blinder
ol|on the, over the
Oland; —a; —al|Holland; Dutch; Dutch (l
olda; —ayo|old; old thing
oldaspi|to look old
oldboy; —fel|bachelor; spinster; old bachelor; old spinster; unmarried
oldegro|old-age disease
oldema; —o|senile; —ility
oldeso|oldness
oldo|old age
oldoza|very old, ancient
oldun; oldin|old man; old woman
olfo; —i|smell
olimpya; —yados Olympic;|Olympiads
oliv; —yer|olive; —tree
olivolyo|olive-oil
olko, olkel|pan, pot
olmo|elm
olografa|holograph
olsaler; —alio|joiner, carpenter; —'s work, woodwork
olsen|stake, pyre
olsio|woodwork, wainscot
olso; —a|wood, timber; wooden
olson; —er|log; woodcutter;
olsorno|wainscot; —ing
olsul|stick, log
oltrago; —i|insult, to —; outrage, to —
olyo; —ya|oil; —
om; —a; —ana|man; human
omaneso|humanity
omanismo (s)|humanities, classics
omblik; —a|navel, umbilicus; umbilical
ombrago; —a|umbrage; —eous, touchy
ombrel|umbrella, parasol
ombro; —a|shadow, shade; —ed
omen; —i|omen, presage; to presage
omera|Homeric
omeyo|humanity
omit; —i|to omit; —ission
omitel|(p
omna|all
omna|all
omnibus|slow train, slow coach service
omnide|all days, every day
omnye|everywhere
omnyes|every time
omocid; —er; —a; —i|homicide
omome|between man and man
omonim; —a|homonym; —ous
omoplat|homoplate, scapula, shoulder-blade
Omorekos|Human Rights, Rights of Man; —
omsovene|within the remembrance of man
on|on
onco|ounce
ondo; —ado|wave; —, big —
ondul; —i|waving
one|over
onesta; —eso|honest; —y
ongadi; —o|to starve, —ation
ongo; —i; —io; —a|hunger; to
ongostrek|hunger-strike
oni|to overhang, to cover, to hang over
onix|onyx
onki|to drive (into), to stick in, to plough in
onklo|uncle
onmezura; —e|made to measurea;
onomatopea|onomatopoeic
onor; —i|honour; to —
onorala|honorary
onorayo|fee, honorarium
onorenda, onoribla|honorable
ont; —a; —i|shame; —ful; to be ashamed
onvege|on the way
opaka; —eso|opaque; opacity
opalemo|opalescence
oper; —ado; —i; —a|operation; to —ate; —ative
operyo|opera
opin; —i|opinion; to be of opinion that
opon; —i; —er|opposition; to oppose; opponent
oponeyo; —ya|opposition; —'s
opradi|to bring into play, to start off
opral|work, product, book
oprer; —in|worker, workman; —woman
opres; —i|oppression; to oppress
opro|work, action, product
opta|optional
opti; —o|to opt; option, choice
optik; —a; —er|optics; —ic; —ician
optimismo; —ist; —ista|optimism; —ist; —istic
opulenta; —lenso|opulent; —ence
opyo|opium
or|hour;
or(o)|hour
ora|horary, per hour
orago; —a|storm; —y
oral; —a|oral examination;
orango; —gad|orange; —eade
orbit|orbit
orda|orderly
ordel; —i|adjustment; to adjust; fitting; to fit
orden; —i|order, indent; to order (goods)
ordi|to put in order, to arrange
ordim|half an hour
ordinara; —e|ordinary; —ily
ordo|order; succession, sequence
ordoli; —azo|to range, to set in order; setting —
ordon; —i|order, command; to —
ordonel|batman (attending soldier)
ordur; —a|ordure, refuse, dirt, filth; filthy, indecent
ore|per hour, an hour
orel; —a|ear; of the —, auricular
oreldora|hard of hearing
orelil|earring
orelzum|head-noises, singing
orfan; —in|orphan; — girl
orfanaro|orphanage
organ; —i; —er; —azo|organ; to —ize; —izer; —ization
orgel|organ, street —
orgo|organ
orgol(yo); —a(-ya)|pride, conceit; proud, conceited
oriel; —i|hem; to —
origa|original
origo|origin
oril; —er; —io; —orio|watch, clock; watchmaker; —'s shop, clock-making
orio; —i|border, edge, hem; to —
orizon; —a; —e|horizon; of, at the —
orizonta; —e|horizontal; —lly
or|j
orkestro; —i|orchestra; to —ate
orkideo|orchid
ormo; —i|mooring rope; to moor, to berth, to belay
ormon; —a|hormone; —al
ornal|hangings, tapestry
orni; —o|to adorn; —ment, ornament
ornul; —i|trimming
ornul; —io|trim; trimmings
orore|from hour to hour
oroskop|horoscope
orqarim|quarter of an hour;
ort(o)|kitchen-garden, orchard
ortel(yo)|toe
ortensyo|hydrangea
ortodoxa; —io|orthodox; —oxy
ortografio; —afa|orthography; —ical
ortokolto|horticulture
oruyo|time-table
orye|now, well
Oryent; —a; —e; —i; —azo|Orient; —al; east of
Oryentye|in the Orient, in the East
orzo; —ok|barley;
osa; —e; —elte|another
osdice|in other words
oselte|on the other hand
oshel; —i|oscillation; to —ate; rocking
osia|others', other people's, neighbour's
oska; —o; —i|idle; —ness; to —
oskol|leisure, — hours, spare time
osnama; —at; —e| "alias", otherwise called
oso|another thing
osose|each other
ospema; —o|hospitable; —ality
ospeo; —ein|guest
ospi|to receive, to lodge, to house
ospin|hostess
ospital; —a|hospital
ospizo|hospice, home, alms-house
ospo|host
ossorta|of another sort
ost(o); —a|bone; bony, osseous
osta|of the bones, osseous
osten|host
ostila; —eso; —ado|hostile; —ity
ostologio; —loga|osteology; —gic(al)
ostrakismo|ostracism
ostro|oyster
osun|another one; the neighbour
osvorte|in other words
osye|elsewhere
osyes|another time
ot; —a|eight; —th
otago; —e|hostage; as —
otaryo|otary, sea-lion
otek|eight hundred
otel (hotel)|hotel
otim|eighth
otis|eighty
otit|otitis
oto|a group of eight
oton|brass
otre|besides, beyond
otrema; —o|excessing, extreme; excess, extremism
otremar(-a)|overseas
otremezura; —e|beyond measure
otrevite|over speed-limit
ov; —ad|egg; omelette
ovala|oval
ovaryo|ovary
ovil|egg-cup
ovul|ovule
ox; —e|occasion, opportunity; on occasion
oxel (yo)|sorrel
oxi|to happen, to befall
oxid; —i|oxide; to —ize
Oxident; —a|Occident; —al
oxigen; —aqo|oxygen; peroxide of hydrogen
oxvevin; —vun|grass-widow; —er
oye; oye!|nay, even; nay!
ozama; —o|rash, —ness; reckless; —ness
ozema; —o|bold; —ness; daring a
ozi; —o|to dare; daring m, boldness
ozokolpo|bold action
ozon|ozone
paci; —o; —aro|to graze; —ing n;
pad; —el|pan; small pan
pafi|to swagger
pagal(yo)|confusion, muddle, disorder
pagalko|au
pagan; —a|heathen, pagan
pagi; —at; —o|to pay; —id; —ment
pajo; —il; —e|page; book-mark, tassel; on page...
pak; —i|packet; to pack
pakto; —i|pact; to come to terms; to compromise, to agree
pala; —eso|pale; —ness
palaso|palace
palasyo|palace; Law-courts
palato; —a|)
paldo; —i|pale
paldon|post, pole
palestro|gymnastics room, gymnasium
paleta|rather pale
palisad; —i|palissade; to —
palko|box; lodge
palmo|palm
palmyo|palm-tree
palpi; —ibla|to finger, to palpate; palpable, tangible
palso; —el|palette
palud; —a|marsh; —y; swamp; —y
paludismo; —udit|impaludism, malaria
palyaco|clown, buffoon
palyal; —a; —i|palliative
palyo; —ya|straw
palyofok|straw-fire
palyom|man of straw
palyul; —i|drawing lots
pam; —i|swoon; to fall into a —; gape; to —
pan; —aro; —er; —erin|bread; bakery; baker
panal; —i; —a|)
panash|swagger, panache
panaxa|mixed, variegated
panborat|slice of bread and butter
panco|paunch, belly
pando|flap, tail
panel|small loaf, (French) roll
paner; —in|baker
panik; —i|panic; to cause, to feel —
panio|baker's shop, bakery
panko; —a —e|breakdown;
panoram; —a|panorama; —mic
panot|tablet, slab
pansel|)
pansi; —o|to bandage; —ing
pant; —alon|trousers, pants
panter|trousers-maker
panteryo|panther
pantoflo; —ema|slipper; stay-at-home
pantostat|toast
panyel|handkerchief
panyo|cloth
paon; —i|peacock; pea-hen; to strut, to peacock
Pap; —a|Pope; papal
papa'|pa, dad, daddy, papa
papav(o); —el|poppy; red —
papel; —er; —io|paper; stationer; stationery, —ner's shop
papeloco|red-tape; old paper
papilyon; —i|butterfly; to flutter, to flit about
papir|papyrus
par|present of
para; —e|apparent; —ly
parad; —i; —bed|parade; to —; lying-in-state bed
paradiso; —a|paradise; isaic
paradox; —a|paradox; —ical
paraf; —i|initials; to initial
parafin; —a|paraffin
paragraf|paragraph
parajo|hereabouts, region
paral; —i|semblance; to make a pretence of doing
paralela; —e|parallel
paralis; —isa; —isi|paralysis; —ytic; to —yse
parapet|parapet
parash; —utist|paratrooper, parachutist,
parashut; —i|parachute; to —
parasit; —a; —i|parasite; —tic; to live in —ism
paravent|screen, folding screen
parda|even (number)
pardal; —i|round-table arbitration; to make a —
pardat|coupled, paired
pardel|opera-glasses, field-glasses
pardo|pair, yoke, couple
pardon; —i|pardon; to —
pare|apparently
paredo, parel|partition; — wall, wainscot
parelya; —ye|same, similar; likewise
parent; a; —i|relation, parent; related; to relate, to become connected
parentezyo; —ye|brackets; in —
parfum; —a; —at; —i|perfume; —ed, fragrant; to perfume
pargi; —o|to parry, to ward off; —ing
pari|to appear, to look like
parkaro, parkazo|parking
parkedo|floor, floor-plank
parki; —ing|to park; parking
parla|spoken, talking a, oral
Parlament; —a; —ismo|Parliament; —ary; —arism
parlaro|parlour
parle|spoken, talking
parlel; —i|(informal) talk; chat; to talk, to converse, to chat
parli|to speak, to talk
parlo|speech
parno|hoist
paro|appearance
parodio; —oda; —odi|parody
parok; —an; —uyo|parish; —ioner; prayer-book
parol|word, speech
paroxismo; —isma|paroxysm; —smal
parset|glympse; short apparition
parsi; —o|to appear;
part; —a; —e|share, part; partial; partly
partajo; —i|sharing, partition; to share, to divide
partedi po|to take the side of
partedo; —a; —an|party n; a; partisan
partedokratio|partycracy
partel|fragment, particle, parcel
parti|to share, to divide
particip|participle
partio|party; game
partor; —i|childbirth, parturition, accouchment; to give birth
partorist|obstetrician, accoucheur
parveni; —at; —un|to achieve, to reach, to attain; upstart, parvenu
pas-|prefixe for "last"
pasa|passing, momentary
pasajo; —er|passage; passenger
pasanyo; —ya|last year; —'s
pase|by the way; on the way
paseo|past
pasi|to pass
pasibla|liable, subject
pasitemp|pastime
pasiv; —a|passive
Pasko; —a|Easter
pasmes; —a|last month; —'s
pasnox; —a|last night; —'s
paso|passage, way
pason; —i|signal-failing; to fail the signal
pasovort|watchword
pasport|passport     [head
pasro; —cef|sparrow; — brain, giddy-
pastel; —ist|pastel; —llist
pastempo; —a|old time; —'s
pasten; —er; —io|cake, sweet; pastry-cook, — maker; pastry, — shop
pasto; —i|paste; to knead
pastor; —a; —al; —a|shepherd; —'s; pastoral
pastro; —a|)
